County,State,Republic,Democrate,Win
Boone County,AR,0.798,0.179,R
Boone County,IN,0.581,0.396,R
Boone County,IA,0.568,0.412,R
Boothbay County,ME,0.418,0.557,D
Boothbay Harbor County,ME,0.391,0.584,D
Borden County,TX,0.959,0.039,R
Boscawen County,NH,0.522,0.456,R
Bosque County,TX,0.819,0.171,R
Bossier County,LA,0.697,0.287,R
Boston County,MA,0.156,0.825,D
Botetourt County,VA,0.717,0.271,R
Bottineau County,ND,0.742,0.237,R
Boulder County,CO,0.203,0.776,D
Boundary County,ID,0.782,0.193,R
Bourbon County,KS,0.75,0.23,R
Bourbon County,KY,0.642,0.342,R
Bourne County,MA,0.446,0.531,D
Bow County,NH,0.393,0.591,D
Bowdoin County,ME,0.575,0.402,R
Bowdoinham County,ME,0.414,0.543,D
Bowie County,TX,0.708,0.28,R
Bowman County,ND,0.842,0.138,R
Box Butte County,NE,0.772,0.203,R
Box Elder County,UT,0.798,0.166,R
Boxborough County,MA,0.231,0.742,D
Boxford County,MA,0.411,0.562,D
Boyd County,NE,0.876,0.117,R
Boyd County,KY,0.658,0.326,R
Boyle County,KY,0.613,0.366,R
Boylston County,MA,0.399,0.57,D
Bozrah County,CT,0.528,0.454,R
Bracken County,KY,0.8,0.188,R
Bradford County,NH,0.445,0.525,D
Bradford County,FL,0.757,0.232,R
Bradford County,VT,0.367,0.598,D
Bradford County,PA,0.716,0.267,R
Bradley County,AR,0.64,0.332,R
Bradley County,TN,0.766,0.214,R
Bradley County,ME,0.544,0.424,R
Braintree County,MA,0.402,0.578,D
Braintree County,VT,0.363,0.605,D
Branch County,MI,0.685,0.3,R
Brandon County,VT,0.41,0.555,D
Branford County,CT,0.396,0.59,D
Brantley County,GA,0.903,0.09,R
Brattleboro County,VT,0.158,0.812,D
Braxton County,WV,0.727,0.257,R
Brazoria County,TX,0.584,0.401,R
Brazos County,TX,0.56,0.416,R
Breathitt County,KY,0.753,0.23,R
Breckinridge County,KY,0.755,0.23,R
Bremer County,IA,0.57,0.41,R
Brentwood County,NH,0.471,0.516,D
Brevard County,FL,0.576,0.412,R
Brewer County,ME,0.487,0.48,R
Brewster County,TX,0.51,0.468,R
Brewster County,MA,0.316,0.663,D
Bridgeport County,CT,0.196,0.794,D
Bridgewater County,VT,0.353,0.619,D
Bridgewater County,ME,0.721,0.276,R
Bridgewater County,MA,0.451,0.524,D
Bridgewater County,CT,0.445,0.541,D
Bridgewater County,NH,0.551,0.425,R
Bridgton County,ME,0.468,0.507,D
Bridport County,VT,0.441,0.538,D
Brighton County,VT,0.553,0.417,R
Briscoe County,TX,0.883,0.106,R
Bristol County,VT,0.308,0.66,D
Bristol County,NH,0.531,0.45,R
Bristol County,CT,0.464,0.519,D
Bristol County,RI,0.397,0.587,D
Bristol County,ME,0.38,0.6,D
Bristol city County,VA,0.687,0.297,R
Broadwater County,MT,0.774,0.205,R
Bronx County,NY,0.169,0.825,D
Brooke County,WV,0.708,0.277,R
Brookfield County,CT,0.485,0.501,D
Brookfield County,MA,0.514,0.46,R
Brookfield County,NH,0.578,0.4,R
Brookfield County,VT,0.36,0.594,D
Brookings County,SD,0.549,0.419,R
Brooklin County,ME,0.303,0.683,D
Brookline County,MA,0.112,0.875,D
Brookline County,NH,0.454,0.525,D
Brookline County,VT,0.292,0.66,D
Brooklyn County,CT,0.536,0.444,R
Brooks County,TX,0.402,0.592,D
Brooks County,ME,0.527,0.409,R
Brooks County,GA,0.6,0.393,R
Brooksville County,ME,0.319,0.656,D
Broome County,NY,0.53,0.446,R
Broomfield County,CO,0.35,0.624,D
Broward County,FL,0.347,0.645,D
Brown County,SD,0.603,0.373,R
Brown County,WI,0.527,0.455,R
Brown County,KS,0.729,0.247,R
Brown County,OH,0.779,0.21,R
Brown County,TX,0.858,0.132,R
Brown County,MN,0.653,0.325,R
Brown County,IN,0.644,0.337,R
Brown County,IL,0.765,0.192,R
Brown County,NE,0.876,0.113,R
Brownfield County,ME,0.482,0.484,R
Brownington County,VT,0.541,0.445,R
Brownville County,ME,0.599,0.359,R
Brule County,SD,0.703,0.27,R
Brunswick County,ME,0.267,0.696,D
Brunswick County,VA,0.422,0.573,D
Brunswick County,NC,0.621,0.37,R
Brunswick County,VT,0.547,0.422,R
Bryan County,GA,0.667,0.316,R
Bryan County,OK,0.773,0.208,R
Buchanan County,MO,0.612,0.366,R
Buchanan County,VA,0.836,0.16,R
Buchanan County,IA,0.596,0.387,R
Buckfield County,ME,0.579,0.397,R
Buckingham County,VA,0.56,0.428,R
Buckland County,MA,0.225,0.746,D
Bucks County,PA,0.473,0.516,D
Bucksport County,ME,0.519,0.448,R
Buena Vista County,IA,0.62,0.362,R
Buena Vista city County,VA,0.662,0.293,R
Buffalo County,SD,0.333,0.641,D
Buffalo County,WI,0.618,0.366,R
Buffalo County,NE,0.705,0.269,R
Bullitt County,KY,0.732,0.251,R
Bulloch County,GA,0.611,0.374,R
Bullock County,AL,0.248,0.747,D
Buncombe County,NC,0.387,0.599,D
Bureau County,IL,0.599,0.381,R
Burke County,ND,0.86,0.119,R
Burke County,GA,0.505,0.488,R
Burke County,NC,0.697,0.294,R
Burke County,VT,0.396,0.577,D
Burleigh County,ND,0.685,0.283,R
Burleson County,TX,0.783,0.208,R
Burlington County,MA,0.364,0.615,D
Burlington County,ME,0.704,0.272,R
Burlington County,NJ,0.39,0.593,D
Burlington County,CT,0.487,0.497,R
Burlington County,VT,0.103,0.866,D
Burnet County,TX,0.76,0.228,R
Burnett County,WI,0.637,0.352,R
Burnham County,ME,0.604,0.363,R
Burrillville County,RI,0.577,0.404,R
Burt County,NE,0.692,0.285,R
