Date,County,State,Series_Complete_Pop_Pct,Fully_Vaccinated,Fully_Vaccinated_12+,Fully_Vaccinated_18+,Fully_Vaccinated_65+,Completeness_pct,Administered_Dose1_Recip,Partially_Vaccinated,Partially_Vaccinated_12+,Partially_Vaccinated_18+,Partially_Vaccinated_65+
2021-10-28,Putnam County,IN,39.1,14701,44.7,46.8,71.4,98.7,15729.0,41.9,47.8,50.0,74.0
2021-10-28,Schuylkill County,PA,56.9,80364,64.9,67.6,90.1,94.5,97446.0,68.9,78.7,82.0,99.9
2021-10-28,Page County,VA,35.7,8540,40.8,42.9,61.9,82.7,9292.0,38.9,44.4,46.6,65.4
2021-10-28,White County,IL,41.4,5598,48.4,51.3,78.9,97.8,6901.0,51.0,59.6,63.1,95.2
2021-10-28,Armstrong County,PA,53.4,34574,60.9,63.4,89.4,94.5,39721.0,61.4,70.0,72.8,99.9
2021-10-28,Wilson County,TX,46.4,23682,54.6,57.2,75.3,99.1,26884.0,52.6,62.0,64.8,86.1
2021-10-28,Montgomery County,TX,48.0,291368,57.8,59.8,77.4,99.1,337973.0,55.6,67.0,69.2,86.5
2021-10-28,Jackson County,AR,34.1,5709,39.4,40.9,66.4,90.3,6689.0,40.0,46.1,47.4,73.2
2021-10-28,Bonner County,ID,37.0,16934,0.0,46.0,67.5,97.6,18928.0,41.4,0.0,51.4,73.0
2021-10-28,Charles Mix County,SD,46.7,4339,59.0,62.3,80.9,96.4,5489.0,59.1,74.6,77.1,88.7
2021-10-28,Bleckley County,GA,11.8,1513,13.5,13.1,10.4,57.9,1765.0,13.7,0.0,0.0,0.0
2021-10-28,Rapides Parish,LA,44.0,57085,52.6,55.2,80.3,96.7,65136.0,50.2,60.0,62.6,85.4
2021-10-28,Union County,IA,46.7,5712,54.2,57.3,83.2,97.5,6121.0,50.0,58.1,61.2,86.6
2021-10-28,Bayamon Municipio,PR,79.2,134134,88.8,89.4,89.5,95.8,148288.0,87.6,98.2,98.8,98.9
2021-10-28,Nuckolls County,NE,45.9,1904,52.3,55.8,77.4,89.7,1908.0,46.0,0.0,0.0,0.0
2021-10-28,Morgan County,MO,34.3,7075,40.6,43.5,71.1,91.2,7897.0,38.3,45.3,48.4,76.7
2021-10-28,Aibonito Municipio,PR,80.7,17840,90.4,90.4,92.3,95.8,19089.0,86.3,96.8,96.7,97.4
2021-10-28,Douglas County,NV,47.4,23172,52.5,54.2,69.8,94.9,25903.0,53.0,58.6,60.4,76.1
2021-10-28,Wheeler County,TX,36.7,1858,44.1,44.2,69.3,99.1,2109.0,41.7,50.0,49.6,75.4
2021-10-28,Washoe County,NV,57.6,271807,67.1,68.8,85.2,94.9,304810.0,64.6,75.3,76.8,93.7
2021-10-28,Kalawao County,HI,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-28,Bath County,KY,50.2,6275,60.4,63.1,87.9,94.4,6939.0,55.5,66.8,69.5,93.0
2021-10-28,Paulding County,GA,20.2,34141,24.2,24.7,42.3,57.9,37006.0,21.9,26.2,26.4,45.8
2021-10-28,Wabasha County,MN,64.2,13884,74.7,77.0,99.9,94.5,15301.0,70.7,82.3,84.9,99.9
2021-10-28,Austin County,TX,42.8,12866,50.7,53.6,75.7,99.1,14782.0,49.2,58.3,61.4,83.0
2021-10-28,Chase County,NE,29.4,1154,34.9,37.5,46.3,89.7,0.0,0.0,0.0,0.0,0.0
2021-10-28,Herkimer County,NY,53.2,32631,61.1,62.9,80.7,97.6,34829.0,56.8,65.3,67.0,85.8
2021-10-28,Miller County,MO,30.1,7720,35.6,37.8,55.3,91.2,8687.0,33.9,40.1,42.4,60.2
2021-10-28,Wheatland County,MT,32.1,683,37.5,40.4,63.0,95.7,735.0,34.6,40.3,43.4,65.2
2021-10-28,Greenville County,SC,48.7,255103,57.4,59.4,81.9,93.9,289960.0,55.4,65.2,67.3,91.3
2021-10-28,Lassen County,CA,32.7,10009,37.0,38.5,71.7,97.4,11399.0,37.3,42.2,43.7,79.5
2021-10-28,Monroe County,GA,12.5,3451,14.4,14.3,15.8,57.9,3784.0,13.7,0.0,0.0,0.0
2021-10-28,Eau Claire County,WI,55.8,58392,64.4,65.7,89.9,97.0,60863.0,58.2,67.1,68.0,92.6
2021-10-28,Andrews County,TX,39.4,7377,49.9,53.2,81.5,99.1,8394.0,44.9,56.7,60.4,88.8
2021-10-28,Carroll County,IN,31.4,6351,36.5,39.0,54.9,98.7,6785.0,33.5,39.0,41.4,56.7
2021-10-28,Multnomah County,OR,71.1,578053,81.0,81.7,94.8,97.8,635156.0,78.1,88.9,89.6,99.9
2021-10-28,Choctaw County,OK,31.4,4605,37.3,40.1,60.5,93.9,5396.0,36.8,43.7,46.9,66.6
2021-10-28,Jackson County,SD,40.4,1350,53.8,55.4,76.5,96.4,1596.0,47.7,63.6,65.4,89.4
2021-10-28,Dodge County,MN,51.9,10855,61.7,63.7,87.2,94.5,11623.0,55.5,66.0,68.3,89.3
2021-10-28,Talbot County,MD,67.6,25121,76.6,78.2,88.7,98.7,27198.0,73.2,82.9,84.4,94.6
2021-10-28,Delaware County,NY,52.1,22983,58.0,59.4,70.7,97.6,24763.0,56.1,62.5,64.0,76.8
2021-10-28,Loiza Municipio,PR,48.7,11963,54.6,54.1,48.7,95.8,14689.0,59.8,67.0,66.1,63.1
2021-10-28,Saline County,IL,39.5,9287,45.9,48.5,75.7,97.8,11764.0,50.1,58.1,61.1,90.5
2021-10-28,Knox County,IN,45.9,16802,53.4,56.1,84.9,98.7,17990.0,49.2,57.2,60.0,86.6
2021-10-28,Union County,IL,46.4,7735,53.5,56.2,74.1,97.8,9628.0,57.8,66.5,69.6,89.3
